run_id,strategy,models_used,model_categories,mean_confidence,consensus_score,consensus_passed,disagreement,latency_ms,latency_beats,phi_efficiency,decision
ENS-000036,adaptive,5,"[""foundation"", ""predictor"", ""sentinel"", ""synthesizer"", ""sovereign""]",0.58912,0.740299,True,0.5685,721.77,0.8268,0.45753,execute
ENS-000037,hierarchical,4,"[""validator"", ""sovereign"", ""predictor""]",0.56885,0.861901,True,0.5079,1234.6,1.4142,0.532684,execute
ENS-000038,committee,5,"[""synthesizer"", ""specialist"", ""foundation"", ""validator""]",0.65056,0.696296,True,0.4337,1189.22,1.3622,0.430335,execute
ENS-000039,adaptive,4,"[""sentinel"", ""synthesizer"", ""foundation"", ""sovereign""]",0.6827,0.734938,True,0.5477,1468.08,1.6817,0.454217,execute
ENS-000040,adversarial,6,"[""sentinel"", ""specialist"", ""validator"", ""sovereign""]",0.5658,0.692837,True,0.2475,1514.41,1.7347,0.428197,execute
ENS-000041,hierarchical,3,"[""specialist"", ""validator""]",0.547433,0.743185,True,0.5138,429.87,0.4924,0.459314,execute
ENS-000042,cascade,7,"[""sentinel"", ""specialist"", ""validator"", ""sovereign""]",0.640586,0.763363,True,0.5072,1853.14,2.1227,0.471784,execute
ENS-000043,tournament,4,"[""sentinel"", ""specialist"", ""validator"", ""predictor""]",0.457925,0.785652,True,0.5245,740.11,0.8478,0.48556,execute
ENS-000044,adaptive,5,"[""specialist"", ""foundation"", ""validator"", ""predictor""]",0.58638,0.664687,True,0.4516,1079.38,1.2364,0.410799,execute
ENS-000045,cascade,5,"[""specialist"", ""validator"", ""sovereign"", ""predictor""]",0.74556,0.802407,True,0.5184,1080.18,1.2373,0.495915,execute
ENS-000046,tournament,8,"[""foundation"", ""specialist"", ""validator"", ""predictor"", ""sentinel"", ""synthesizer"", ""sovereign""]",0.762175,0.680503,True,0.5228,1569.0,1.7973,0.420574,execute
ENS-000047,committee,4,"[""foundation"", ""sovereign"", ""predictor""]",0.64015,0.665886,True,0.4112,847.21,0.9705,0.41154,execute
ENS-000048,parallel,7,"[""foundation"", ""specialist"", ""validator"", ""predictor"", ""synthesizer"", ""sovereign""]",0.655414,0.699817,True,0.5859,360.4,0.4128,0.43251,execute
ENS-000049,parallel,5,"[""specialist"", ""sentinel"", ""synthesizer"", ""foundation""]",0.4462,0.58909,False,0.2457,318.12,0.3644,0.364078,escalate
ENS-000050,tournament,3,"[""sentinel"", ""synthesizer"", ""sovereign""]",0.571067,0.763745,True,0.6202,650.87,0.7456,0.47202,execute
ENS-000051,adversarial,8,"[""foundation"", ""specialist"", ""predictor"", ""sentinel"", ""synthesizer"", ""sovereign""]",0.646925,0.679515,True,0.509,1816.12,2.0803,0.419963,execute
ENS-000052,tournament,5,"[""foundation"", ""specialist"", ""validator"", ""predictor"", ""synthesizer""]",0.57186,0.646637,True,0.3599,1357.93,1.5555,0.399644,execute
ENS-000053,parallel,7,"[""foundation"", ""validator"", ""sentinel"", ""synthesizer"", ""sovereign""]",0.672229,0.757388,True,0.598,355.9,0.4077,0.468092,execute
ENS-000054,hierarchical,7,"[""synthesizer"", ""specialist"", ""foundation"", ""sentinel""]",0.671743,0.611401,False,0.5531,1261.95,1.4455,0.377867,escalate
ENS-000055,adversarial,4,"[""synthesizer"", ""foundation"", ""validator""]",0.535375,0.710508,True,0.4778,736.61,0.8438,0.439118,execute
ENS-000056,cascade,3,"[""synthesizer"", ""validator"", ""sovereign""]",0.616867,0.44572,False,0.4175,713.1,0.8168,0.27547,escalate
ENS-000057,adversarial,7,"[""sentinel"", ""specialist"", ""validator"", ""sovereign""]",0.836214,0.626092,True,0.2312,1477.75,1.6927,0.386946,execute
ENS-000058,adversarial,6,"[""foundation"", ""specialist"", ""validator"", ""predictor"", ""sovereign""]",0.6067,0.754489,True,0.5267,1330.68,1.5243,0.4663,execute
ENS-000059,tournament,6,"[""foundation"", ""validator"", ""sentinel"", ""synthesizer"", ""sovereign""]",0.689167,0.710191,True,0.6008,1147.47,1.3144,0.438922,execute
ENS-000060,tournament,6,"[""specialist"", ""predictor"", ""sentinel"", ""synthesizer"", ""sovereign""]",0.779467,0.563278,False,0.5619,989.34,1.1333,0.348125,escalate
ENS-000061,hierarchical,3,"[""sentinel"", ""foundation"", ""sovereign""]",0.479767,0.569626,False,0.1388,698.22,0.7998,0.352048,escalate
ENS-000062,cascade,7,"[""foundation"", ""specialist"", ""validator"", ""sentinel"", ""synthesizer""]",0.6521,0.757925,True,0.6339,1249.8,1.4316,0.468423,execute
ENS-000063,adaptive,5,"[""foundation"", ""specialist"", ""validator"", ""sentinel"", ""synthesizer""]",0.68302,0.741898,True,0.6503,686.45,0.7863,0.458518,execute
ENS-000064,tournament,3,"[""synthesizer"", ""validator"", ""predictor""]",0.649133,0.660653,True,0.5205,546.27,0.6257,0.408306,execute
ENS-000065,committee,7,"[""foundation"", ""specialist"", ""sentinel"", ""synthesizer"", ""sovereign""]",0.563257,0.641227,True,0.495,1547.22,1.7723,0.3963,execute
ENS-000066,hierarchical,3,"[""foundation"", ""validator""]",0.544933,0.914539,True,0.1634,525.86,0.6024,0.565216,execute
ENS-000067,hierarchical,3,"[""sentinel"", ""foundation"", ""sovereign""]",0.683967,0.738951,True,0.1131,580.61,0.6651,0.456697,execute
ENS-000068,adversarial,4,"[""synthesizer"", ""foundation"", ""validator"", ""sovereign""]",0.676775,0.783421,True,0.3684,893.33,1.0233,0.484181,execute
ENS-000069,adversarial,5,"[""specialist"", ""validator"", ""predictor"", ""sentinel"", ""synthesizer""]",0.5301,0.819448,True,0.4903,1428.4,1.6362,0.506447,execute
ENS-000070,adaptive,5,"[""validator"", ""predictor"", ""sentinel"", ""synthesizer"", ""sovereign""]",0.7574,0.58848,False,0.4262,1272.25,1.4573,0.363701,escalate
ENS-000071,adaptive,5,"[""foundation"", ""validator"", ""sentinel"", ""synthesizer"", ""sovereign""]",0.47682,0.719162,True,0.2486,1128.17,1.2923,0.444467,execute
ENS-000072,tournament,8,"[""foundation"", ""specialist"", ""validator"", ""predictor"", ""sentinel"", ""synthesizer"", ""sovereign""]",0.544025,0.718638,True,0.6174,2016.7,2.3101,0.444143,execute
ENS-000073,parallel,6,"[""foundation"", ""specialist"", ""validator"", ""synthesizer"", ""sovereign""]",0.681517,0.817805,True,0.4803,339.03,0.3884,0.505431,execute
ENS-000074,tournament,7,"[""sentinel"", ""validator"", ""sovereign"", ""predictor""]",0.625943,0.768332,True,0.5072,1385.96,1.5876,0.474855,execute
ENS-000075,hierarchical,8,"[""foundation"", ""specialist"", ""predictor"", ""sentinel"", ""sovereign""]",0.523025,0.728281,True,0.658,1305.23,1.4951,0.450103,execute
ENS-000076,hierarchical,8,"[""specialist"", ""validator"", ""predictor"", ""sentinel"", ""synthesizer""]",0.637563,0.664759,True,0.5406,1851.87,2.1213,0.410843,execute
ENS-000077,hierarchical,4,"[""specialist"", ""sentinel"", ""synthesizer"", ""foundation""]",0.54055,0.721829,True,0.1674,976.84,1.1189,0.446115,execute
ENS-000078,adaptive,5,"[""specialist"", ""validator"", ""sovereign"", ""predictor""]",0.583,0.775177,True,0.6141,1099.89,1.2599,0.479086,execute
ENS-000079,adaptive,7,"[""foundation"", ""validator"", ""predictor"", ""sentinel"", ""sovereign""]",0.693943,0.727328,True,0.5645,1279.43,1.4655,0.449514,execute
ENS-000080,hierarchical,3,"[""sentinel"", ""specialist"", ""validator""]",0.573867,0.828876,True,0.4364,774.88,0.8876,0.512274,execute
ENS-000081,hierarchical,7,"[""foundation"", ""specialist"", ""validator"", ""predictor"", ""sovereign""]",0.765829,0.7082,True,0.5295,1383.25,1.5845,0.437691,execute
ENS-000082,hierarchical,7,"[""foundation"", ""specialist"", ""predictor"", ""sentinel"", ""synthesizer"", ""sovereign""]",0.523486,0.768753,True,0.5709,2120.51,2.429,0.475116,execute
ENS-000083,adversarial,5,"[""synthesizer"", ""specialist"", ""sentinel"", ""sovereign""]",0.81158,0.753715,True,0.4129,978.69,1.1211,0.465822,execute
ENS-000084,committee,7,"[""sentinel"", ""specialist"", ""validator"", ""predictor""]",0.633243,0.749766,True,0.5546,1930.14,2.2109,0.463381,execute
ENS-000085,adversarial,3,"[""synthesizer"", ""sovereign"", ""predictor""]",0.6185,0.623079,True,0.3287,757.44,0.8676,0.385084,execute
ENS-000086,parallel,4,"[""sentinel"", ""validator"", ""predictor""]",0.77035,0.718962,True,0.3767,397.24,0.455,0.444343,execute
ENS-000087,hierarchical,6,"[""foundation"", ""validator"", ""predictor"", ""sentinel"", ""sovereign""]",0.634967,0.695275,True,0.5722,1273.32,1.4586,0.429704,execute
ENS-000088,adversarial,8,"[""foundation"", ""specialist"", ""predictor"", ""sentinel"", ""synthesizer"", ""sovereign""]",0.515437,0.781172,True,0.6287,2054.29,2.3531,0.482791,execute
ENS-000089,adversarial,7,"[""specialist"", ""validator"", ""predictor"", ""sentinel"", ""synthesizer""]",0.7128,0.77222,True,0.4937,1472.95,1.6872,0.477258,execute
ENS-000090,adversarial,6,"[""sentinel"", ""specialist"", ""foundation"", ""sovereign""]",0.599833,0.744605,True,0.5674,1361.67,1.5598,0.460191,execute
ENS-000091,adversarial,8,"[""foundation"", ""specialist"", ""validator"", ""predictor"", ""synthesizer"", ""sovereign""]",0.568713,0.789909,True,0.6139,1733.31,1.9855,0.488191,execute
ENS-000092,committee,6,"[""sentinel"", ""specialist"", ""sovereign"", ""predictor""]",0.556617,0.683427,True,0.672,1156.4,1.3246,0.422381,execute
ENS-000093,hierarchical,6,"[""sentinel"", ""synthesizer"", ""validator"", ""predictor""]",0.551233,0.714857,True,0.4076,1337.79,1.5324,0.441806,execute
ENS-000094,cascade,6,"[""foundation"", ""validator"", ""predictor"", ""sentinel"", ""synthesizer"", ""sovereign""]",0.7432,0.66914,True,0.3605,1533.39,1.7565,0.413551,execute
ENS-000095,hierarchical,4,"[""sentinel"", ""specialist"", ""validator"", ""sovereign""]",0.530875,0.829099,True,0.4775,849.74,0.9734,0.512411,execute
ENS-000096,tournament,7,"[""foundation"", ""specialist"", ""validator"", ""predictor"", ""sentinel"", ""synthesizer""]",0.602914,0.722611,True,0.6009,1889.46,2.1643,0.446598,execute
ENS-000097,parallel,3,"[""synthesizer"", ""validator""]",0.6804,0.513784,False,0.4252,367.26,0.4207,0.317536,escalate
ENS-000098,tournament,4,"[""sentinel"", ""specialist"", ""synthesizer""]",0.664425,0.665438,True,0.5634,862.06,0.9875,0.411263,execute
ENS-000099,adversarial,8,"[""foundation"", ""specialist"", ""validator"", ""predictor"", ""sentinel""]",0.60045,0.712121,True,0.4908,2199.86,2.5199,0.440115,execute
ENS-000100,cascade,7,"[""foundation"", ""validator"", ""sovereign"", ""predictor""]",0.587214,0.572648,False,0.3211,1360.17,1.558,0.353916,escalate
ENS-000101,cascade,5,"[""foundation"", ""specialist"", ""validator"", ""sentinel"", ""synthesizer""]",0.57738,0.910171,True,0.5987,671.23,0.7689,0.562517,execute
ENS-000102,committee,8,"[""foundation"", ""specialist"", ""predictor"", ""sentinel"", ""synthesizer"", ""sovereign""]",0.685913,0.677804,True,0.5852,1683.72,1.9287,0.418906,execute
ENS-000103,committee,3,"[""sovereign"", ""predictor""]",0.697267,0.745186,True,0.3703,212.7,0.2436,0.46055,execute
ENS-000104,cascade,8,"[""foundation"", ""specialist"", ""predictor"", ""synthesizer"", ""sovereign""]",0.612762,0.650244,True,0.3129,1647.47,1.8871,0.401873,execute
ENS-000105,hierarchical,4,"[""synthesizer"", ""specialist"", ""foundation""]",0.7088,0.70947,True,0.5116,898.45,1.0292,0.438477,execute
ENS-000106,adaptive,7,"[""foundation"", ""specialist"", ""validator"", ""predictor"", ""sentinel"", ""synthesizer""]",0.715929,0.663888,True,0.599,1545.38,1.7702,0.410305,execute
ENS-000107,cascade,6,"[""sentinel"", ""specialist"", ""foundation"", ""synthesizer""]",0.67775,0.764289,True,0.4419,1335.73,1.53,0.472357,execute
ENS-000108,cascade,5,"[""foundation"", ""validator"", ""sovereign""]",0.69934,0.687037,True,0.3678,1205.75,1.3812,0.424612,execute
ENS-000109,adaptive,5,"[""sentinel"", ""synthesizer"", ""validator"", ""predictor""]",0.64842,0.794784,True,0.3944,1557.68,1.7843,0.491203,execute
ENS-000110,tournament,8,"[""foundation"", ""specialist"", ""validator"", ""predictor"", ""sentinel""]",0.605563,0.749171,True,0.5153,1835.1,2.1021,0.463013,execute
ENS-000111,tournament,4,"[""specialist"", ""foundation"", ""validator"", ""sovereign""]",0.663525,0.808548,True,0.6482,693.38,0.7943,0.49971,execute
ENS-000112,hierarchical,4,"[""synthesizer"", ""validator"", ""sovereign"", ""predictor""]",0.6264,0.643117,True,0.5254,434.56,0.4978,0.397468,execute
ENS-000113,adversarial,4,"[""specialist"", ""sovereign"", ""predictor""]",0.598875,0.578528,False,0.5589,1113.68,1.2757,0.35755,escalate
ENS-000114,committee,8,"[""foundation"", ""specialist"", ""validator"", ""predictor"", ""sentinel""]",0.696625,0.667306,True,0.4443,1936.95,2.2187,0.412418,execute
ENS-000115,hierarchical,6,"[""synthesizer"", ""specialist"", ""validator"", ""sovereign""]",0.684017,0.772052,True,0.5775,1544.57,1.7693,0.477154,execute
ENS-000116,tournament,4,"[""sentinel"", ""specialist"", ""foundation""]",0.5785,0.614628,False,0.4124,1014.61,1.1622,0.379861,escalate
ENS-000117,tournament,8,"[""foundation"", ""specialist"", ""validator"", ""predictor"", ""sentinel"", ""synthesizer""]",0.702037,0.599703,False,0.5993,1589.11,1.8203,0.370637,escalate
ENS-000118,committee,8,"[""validator"", ""predictor"", ""sentinel"", ""synthesizer"", ""sovereign""]",0.6655,0.758227,True,0.6393,2032.71,2.3284,0.46861,execute
ENS-000119,committee,7,"[""validator"", ""predictor"", ""sentinel"", ""synthesizer"", ""sovereign""]",0.611614,0.649787,True,0.6437,1352.07,1.5488,0.40159,execute
ENS-000120,tournament,8,"[""foundation"", ""specialist"", ""validator"", ""predictor"", ""sentinel"", ""synthesizer"", ""sovereign""]",0.642637,0.650188,True,0.4806,2005.4,2.2971,0.401838,execute
ENS-000121,tournament,6,"[""specialist"", ""synthesizer"", ""validator"", ""sovereign""]",0.661983,0.813868,True,0.4478,1270.17,1.455,0.502998,execute
ENS-000122,adaptive,6,"[""foundation"", ""validator"", ""predictor"", ""sentinel"", ""sovereign""]",0.706483,0.762107,True,0.5193,1627.34,1.8641,0.471008,execute
ENS-000123,hierarchical,3,"[""synthesizer"", ""predictor""]",0.645767,0.758199,True,0.436,1063.74,1.2185,0.468593,execute
ENS-000124,parallel,4,"[""sentinel"", ""validator"", ""predictor""]",0.755925,0.624581,True,0.4388,393.88,0.4512,0.386013,execute
ENS-000125,committee,6,"[""foundation"", ""specialist"", ""validator"", ""sentinel"", ""synthesizer"", ""sovereign""]",0.6375,0.770231,True,0.5879,1258.68,1.4418,0.476029,execute
ENS-000126,committee,8,"[""foundation"", ""specialist"", ""validator"", ""predictor"", ""synthesizer""]",0.634463,0.756402,True,0.4909,1900.15,2.1766,0.467482,execute
ENS-000127,hierarchical,7,"[""foundation"", ""validator"", ""predictor"", ""sentinel"", ""synthesizer"", ""sovereign""]",0.637343,0.879689,True,0.3951,1840.07,2.1078,0.543678,execute
ENS-000128,adaptive,6,"[""foundation"", ""specialist"", ""validator"", ""predictor"", ""sentinel"", ""synthesizer""]",0.703817,0.651543,True,0.5914,1357.96,1.5555,0.402675,execute
ENS-000129,adversarial,4,"[""specialist"", ""foundation"", ""validator"", ""sovereign""]",0.642125,0.643745,True,0.4566,1047.31,1.1997,0.397856,execute
ENS-000130,committee,8,"[""foundation"", ""validator"", ""predictor"", ""synthesizer"", ""sovereign""]",0.720575,0.533379,False,0.6162,2100.74,2.4063,0.329647,escalate
ENS-000131,parallel,3,"[""synthesizer"", ""foundation"", ""predictor""]",0.582667,0.735564,True,0.5602,334.16,0.3828,0.454603,execute
ENS-000132,hierarchical,8,"[""foundation"", ""specialist"", ""validator"", ""sentinel"", ""sovereign""]",0.700875,0.689491,True,0.5742,1823.53,2.0888,0.426129,execute
ENS-000133,adaptive,7,"[""specialist"", ""validator"", ""predictor"", ""sentinel"", ""sovereign""]",0.5641,0.655093,True,0.6035,1470.11,1.684,0.40487,execute
ENS-000134,hierarchical,5,"[""sentinel"", ""validator"", ""sovereign"", ""predictor""]",0.73378,0.548839,False,0.527,1243.66,1.4246,0.339201,escalate
ENS-000135,adversarial,8,"[""specialist"", ""validator"", ""predictor"", ""sentinel"", ""sovereign""]",0.614675,0.660119,True,0.6486,1798.61,2.0603,0.407976,execute
ENS-000136,adversarial,4,"[""sentinel"", ""specialist"", ""foundation"", ""validator""]",0.6136,0.593592,False,0.5596,1016.83,1.1648,0.36686,escalate
ENS-000137,hierarchical,5,"[""specialist"", ""sentinel"", ""synthesizer"", ""sovereign""]",0.61884,0.866304,True,0.503,1308.03,1.4983,0.535405,execute
ENS-000138,cascade,6,"[""synthesizer"", ""foundation"", ""predictor""]",0.570983,0.74521,True,0.3475,1396.7,1.5999,0.460565,execute
ENS-000139,hierarchical,7,"[""specialist"", ""validator"", ""sovereign"", ""predictor""]",0.665629,0.715729,True,0.6153,1212.54,1.3889,0.442345,execute
ENS-000140,tournament,4,"[""synthesizer"", ""sovereign"", ""predictor""]",0.673825,0.569458,False,0.3614,997.26,1.1423,0.351944,escalate
ENS-000141,hierarchical,7,"[""foundation"", ""specialist"", ""validator"", ""predictor"", ""sentinel"", ""synthesizer"", ""sovereign""]",0.668114,0.868396,True,0.4448,1379.53,1.5802,0.536698,execute
ENS-000142,parallel,7,"[""specialist"", ""validator"", ""predictor"", ""synthesizer"", ""sovereign""]",0.6647,0.666199,True,0.4946,374.78,0.4293,0.411733,execute
ENS-000143,adversarial,5,"[""foundation"", ""specialist"", ""validator"", ""sentinel"", ""synthesizer""]",0.60868,0.756362,True,0.608,944.81,1.0823,0.467457,execute
ENS-000144,cascade,8,"[""foundation"", ""predictor"", ""sentinel"", ""synthesizer"", ""sovereign""]",0.548025,0.689441,True,0.4754,2033.33,2.3291,0.426098,execute
ENS-000145,parallel,3,"[""sentinel"", ""validator"", ""sovereign""]",0.609333,0.676554,True,0.0963,398.19,0.4561,0.418134,execute
ENS-000146,cascade,3,"[""synthesizer"", ""foundation"", ""validator""]",0.5668,0.722594,True,0.4167,687.35,0.7873,0.446588,execute
ENS-000147,committee,3,"[""sentinel"", ""specialist"", ""predictor""]",0.727533,0.593714,False,0.1775,744.47,0.8528,0.366935,escalate
ENS-000148,parallel,8,"[""synthesizer"", ""foundation"", ""sovereign"", ""predictor""]",0.545562,0.715542,True,0.5371,356.24,0.4081,0.442229,execute
ENS-000149,committee,6,"[""validator"", ""predictor"", ""sentinel"", ""synthesizer"", ""sovereign""]",0.61595,0.782781,True,0.6051,1342.45,1.5377,0.483785,execute
ENS-000150,committee,4,"[""specialist"", ""sentinel"", ""synthesizer"", ""sovereign""]",0.70285,0.681679,True,0.536,764.78,0.876,0.421301,execute
ENS-000151,tournament,4,"[""synthesizer"", ""specialist"", ""sentinel"", ""predictor""]",0.881925,0.827734,True,0.1793,767.58,0.8792,0.511568,execute
ENS-000152,tournament,8,"[""specialist"", ""validator"", ""predictor"", ""sentinel"", ""synthesizer"", ""sovereign""]",0.672362,0.642446,True,0.6855,1789.67,2.05,0.397053,execute
ENS-000153,hierarchical,8,"[""specialist"", ""validator"", ""sentinel"", ""synthesizer"", ""sovereign""]",0.564025,0.65088,True,0.6437,2537.91,2.9071,0.402266,execute
ENS-000154,parallel,8,"[""foundation"", ""validator"", ""predictor"", ""synthesizer"", ""sovereign""]",0.59775,0.767655,True,0.5449,398.26,0.4562,0.474437,execute
ENS-000155,committee,4,"[""specialist"", ""synthesizer"", ""sovereign"", ""predictor""]",0.714975,0.753651,True,0.3061,735.09,0.842,0.465782,execute
ENS-000156,tournament,5,"[""sentinel"", ""synthesizer"", ""validator"", ""predictor""]",0.61706,0.705381,True,0.5989,1088.33,1.2467,0.43595,execute
ENS-000157,cascade,4,"[""sentinel"", ""synthesizer"", ""predictor""]",0.643775,0.544952,False,0.3386,922.28,1.0565,0.336799,escalate
ENS-000158,parallel,5,"[""foundation"", ""specialist"", ""validator"", ""predictor"", ""synthesizer""]",0.60954,0.671531,True,0.4548,358.63,0.4108,0.415029,execute
ENS-000159,tournament,5,"[""foundation"", ""specialist"", ""validator"", ""predictor"", ""sentinel""]",0.70102,0.707497,True,0.5687,1426.33,1.6338,0.437257,execute
ENS-000160,adaptive,6,"[""specialist"", ""synthesizer"", ""foundation"", ""validator""]",0.6806,0.497767,False,0.52,1157.04,1.3254,0.307637,escalate
ENS-000161,adaptive,7,"[""foundation"", ""specialist"", ""validator"", ""synthesizer"", ""sovereign""]",0.640143,0.757305,True,0.6093,1800.43,2.0624,0.46804,execute
ENS-000162,adaptive,6,"[""foundation"", ""specialist"", ""validator"", ""sentinel"", ""sovereign""]",0.695333,0.734312,True,0.3693,1512.38,1.7324,0.45383,execute
ENS-000163,adversarial,5,"[""sentinel"", ""synthesizer"", ""validator"", ""sovereign""]",0.7642,0.728191,True,0.571,1127.13,1.2911,0.450047,execute
ENS-000164,parallel,5,"[""foundation"", ""validator"", ""predictor"", ""sentinel"", ""synthesizer""]",0.71054,0.661922,True,0.4525,386.19,0.4424,0.40909,execute
ENS-000165,parallel,5,"[""foundation"", ""specialist"", ""predictor"", ""sentinel"", ""sovereign""]",0.56406,0.710593,True,0.4869,399.11,0.4572,0.439171,execute
ENS-000166,committee,6,"[""sentinel"", ""synthesizer"", ""foundation"", ""predictor""]",0.6946,0.642759,True,0.4253,1753.85,2.009,0.397247,execute
